id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
1366094,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
885054,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
925726,PK,CCU/Cuestionados,0,0,0,
846380,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
532287,CORPA,CCU/Cuestionados,,,,
,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
846196,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
680292,,,,,,
1733714,CORPA,LOCALES EN REGLA,1,1,0,BUDWEISERSTELLA ARTOIS
1734026,CORPA,LOCALES EN REGLA,1,1,0,BUDWEISERSTELLA ARTOIS
1738598,CORPA,LOCALES EN REGLA,1,1,0,BUDWEISERSTELLA ARTOIS
1707168,CORPA,LOCALES EN REGLA,1,3,0,AUSTRALROYAL GUARD
1942978,CORPA,LOCALES EN REGLA,1,3,0,AUSTRALROYAL GUARD
2211235,PK,LOCALES EN REGLA,1,1,0,KUNTSMANN ( de CCU)
2319454,PK,LOCALES EN REGLA,1,1,0,KUNTSMANN ( de CCU)
2131294,PK,LOCALES EN REGLA,1,1,0,KUNTSMANN ( de CCU)
2359044,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2350563,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2105452,CORPA,LOCALES EN REGLA,1,3,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
679189,CORPA,LOCALES EN REGLA,1,3,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
2094566,PK,LOCALES EN REGLA,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)CORONA (de ABINBEV)CORONITA (de ABINBEV)
2299240,PK,LOCALES EN REGLA,1,4,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)CORONA (de ABINBEV)CORONITA (de ABINBEV)
528823,CORPA,IMPLEMENTADO,3,2,0,BUDWEISERSTELLA ARTOIS
2337727,CORPA,IMPLEMENTADO,3,2,0,BUDWEISERSTELLA ARTOIS
898834,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
701079,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)
807559,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)
2299088,CORPA,LOCALES EN REGLA,1,1,0,AUSTRALROYAL GUARD
2303397,CORPA,LOCALES EN REGLA,1,1,0,AUSTRALROYAL GUARD
2063673,CORPA,LOCALES EN REGLA,,,,AUSTRALROYAL GUARD
2156316,PK,LOCALES EN REGLA,0,0,0,
883812,CORPA,CCU/Cuestionados,1,3,0,BUDWEISERSTELLA ARTOIS
2058846,PK,LOCALES EN REGLA,1,1,0,ROYAL GUARD  ( de CCU)
2055470,PK,LOCALES EN REGLA,1,1,0,ROYAL GUARD  ( de CCU)
679217,CORPA,LOCALES EN REGLA,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
679214,PK,LOCALES EN REGLA,0,0,0,
679906,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)
679907,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)ROYAL GUARD  ( de CCU)
2188791,CORPA,LOCALES EN REGLA,1,4,2,
2220709,PK,LOCALES EN REGLA,1,2,0,HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
814793,PK,LOCALES EN REGLA,0,0,0,
1326897,PK,IMPLEMENTADO,1,4,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1426486,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
1428409,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
1913080,PK,IMPLEMENTADO,1,3,0,HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2195618,PK,LOCALES EN REGLA,1,4,0,AUSTRAL ( de CCU)PATAGONIA ( de CCU)
2299624,CORPA,LOCALES EN REGLA,1,2,1,
2232402,PK,LOCALES EN REGLA,1,4,0,AUSTRAL ( de CCU)PATAGONIA ( de CCU)
1756212,CORPA,LOCALES EN REGLA,1,1,0,AUSTRALROYAL GUARD
1753710,CORPA,LOCALES EN REGLA,1,1,0,AUSTRALROYAL GUARD
1754183,CORPA,LOCALES EN REGLA,1,1,0,AUSTRALROYAL GUARD
722006,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)
2250665,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)
699300,PK,LOCALES EN REGLA,2,1,0,KUNTSMANN ( de CCU)CRISTAL ( de CCU)
710220,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
565718,PK,LOCALES EN REGLA,2,1,0,KUNTSMANN ( de CCU)CRISTAL ( de CCU)
1343167,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
